Datetime,Lon,Lat,Type
2006-05-04 19:57:00,-75.168078,39.906642,Liquor Law Violations
2012-09-17 19:55:00,-75.169938,39.925484,Public Drunkenness
2008-05-28 21:34:00,-75.028987,40.048701,Liquor Law Violations
2014-12-19 22:17:00,-75.236865,39.923728,Prostitution
2008-07-21 01:28:00,-75.145053,39.960903,Liquor Law Violations
2010-06-17 12:31:00,-75.162104,39.948884,Public Drunkenness
2007-05-19 23:29:00,-75.158525,39.921663,Prostitution
2016-05-20 21:47:00,-75.060651,40.016997,Prostitution
2006-01-10 01:28:00,-75.107603,39.999606,Prostitution
2016-06-24 22:25:00,-75.163231,39.949048,Prostitution
2011-12-27 23:10:00,-75.106447,40.000383,Prostitution
2009-02-13 23:06:00,-75.120326,39.992726,Prostitution
2013-04-30 21:47:00,-75.104232,40.001497,Prostitution
2013-03-06 12:34:00,-75.115786,39.995225,Prostitution
2009-03-28 18:41:00,-75.034137,40.057302,Liquor Law Violations
2006-04-04 01:17:00,-75.175616,39.927671,Gambling
2014-01-08 22:19:00,-75.051546,40.050521,Prostitution
2013-01-18 11:34:00,-75.07943,40.021454,Prostitution
2010-01-28 11:58:00,-75.245832,39.967282,Prostitution
2008-06-14 22:38:00,-75.108741,39.999085,Prostitution
2006-11-02 14:37:00,-75.182712,39.942031,Public Drunkenness
2009-10-30 12:51:00,-75.097675,40.003754,Prostitution
2010-12-07 17:55:00,-74.959318,40.086884,Family Abuse
2010-09-18 03:18:00,-75.137216,39.960244,Liquor Law Violations
2015-05-21 09:32:00,-75.134975,39.973115,Prostitution
2015-07-20 20:44:00,-75.168078,39.906642,Liquor Law Violations
2012-06-14 22:53:00,-75.238758,39.922409,Prostitution
2011-09-24 00:41:00,-75.160204,39.983601,Liquor Law Violations
2008-03-08 02:39:00,-75.211113,40.026153,Liquor Law Violations
2011-07-08 10:28:00,-75.122562,39.99148,Prostitution
2015-02-11 11:10:00,-75.105046,40.000506,Prostitution
2006-02-16 01:03:00,-75.147655,40.008819,Prostitution
2008-09-02 23:39:00,-75.147233,40.016583,Prostitution
2012-12-12 23:39:00,-75.129661,39.987493,Prostitution
2015-04-06 20:15:00,-75.078182,40.022416,Liquor Law Violations
2011-11-29 21:59:00,-75.120345,39.992646,Prostitution
2008-04-02 22:39:00,-75.155701,40.047429,Prostitution
2007-08-10 22:46:00,-75.171521,40.038876,Prostitution
2007-08-09 22:39:00,-75.129794,40.036304,Liquor Law Violations
2009-10-03 17:01:00,-75.168078,39.906642,Liquor Law Violations
2011-09-30 17:59:00,-75.15354,39.942211,Family Abuse
2016-03-24 21:55:00,-75.156609,39.959723,Liquor Law Violations
2014-12-29 00:45:00,-75.197948,39.956667,Public Drunkenness
2013-03-01 20:27:00,-75.110581,39.984188,Liquor Law Violations
2011-11-15 22:41:00,-75.223143,39.969712,Prostitution
2007-01-17 22:37:00,-75.092727,40.005276,Prostitution
2009-06-20 23:41:00,-75.143832,39.958556,Public Drunkenness
2010-07-01 22:32:00,-75.106447,40.000383,Prostitution
2007-07-06 22:51:00,-75.161115,39.946523,Prostitution
2008-06-25 22:29:00,-75.08212,40.009247,Prostitution
2015-08-15 22:07:00,-75.125492,39.989889,Prostitution
2015-08-28 02:19:00,-75.146086,40.022667,Prostitution
2011-05-13 08:51:00,-75.137804,40.003285,Family Abuse
2010-02-18 23:20:00,-75.147269,40.014986,Prostitution
2015-08-15 20:01:00,-75.208811,39.954853,Public Drunkenness
2016-06-17 16:13:00,-75.126588,39.992757,Family Abuse
2012-10-03 23:49:00,-75.125492,39.989889,Prostitution
2008-08-29 23:38:00,-75.157902,40.049129,Prostitution
2008-07-23 13:02:00,-75.11801,39.994007,Prostitution
2012-04-28 15:33:00,-75.122562,39.991437,Homicide
2008-01-29 22:14:00,-75.132589,39.983231,Prostitution
2012-03-02 03:19:00,-75.149912,39.921785,Family Abuse
2013-11-21 22:05:00,-75.111001,39.997854,Prostitution
2014-08-09 22:39:00,-75.117994,39.993996,Prostitution
2015-09-18 03:18:00,-75.147195,40.019958,Prostitution
2006-12-24 02:59:00,-75.201165,39.957018,Homicide
2008-01-23 20:23:00,-74.985936,40.096793,Homicide
