hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,name,Klasse
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes,aardvark,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,antelope,mammal
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,bass,fish
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes,bear,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,boar,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,buffalo,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,calf,mammal
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,yes,no,carp,fish
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,catfish,fish
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,no,yes,no,cavy,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,cheetah,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,chicken,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,chub,fish
no,no,yes,no,no,no,yes,no,no,no,no,no,0,no,no,no,clam,invertebrate
no,no,yes,no,no,yes,yes,no,no,no,no,no,4,no,no,no,crab,invertebrate
no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no,crayfish,invertebrate
no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no,crow,bird
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,deer,mammal
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes,dogfish,fish
no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes,dolphin,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,dove,bird
no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,2,yes,no,no,duck,bird
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,elephant,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,yes,flamingo,bird
no,no,yes,no,no,no,no,no,no,yes,no,no,6,no,no,no,flea,insect
no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,no,no,no,frog,amphibian
yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,2,yes,no,no,fruitbat,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,giraffe,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,2,no,yes,yes,girl,mammal
no,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,gnat,insect
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,goat,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,no,no,yes,gorilla,mammal
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,gull,bird
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no,haddock,fish
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,no,hamster,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,no,hare,mammal
no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no,hawk,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,herring,fish
yes,no,yes,no,yes,no,no,no,no,yes,yes,no,6,no,yes,no,honeybee,insect
yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,housefly,insect
no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,no,kiwi,bird
no,no,yes,no,yes,no,yes,no,no,yes,no,no,6,no,no,no,ladybird,insect
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no,lark,bird
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,leopard,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,lion,mammal
no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no,lobster,invertebrate
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,lynx,mammal
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,4,yes,no,yes,mink,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no,mole,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mongoose,mammal
yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,moth,insect
no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,yes,no,no,newt,amphibian
no,no,yes,no,no,yes,yes,no,no,no,no,no,8,no,no,yes,octopus,invertebrate
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no,opossum,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,oryx,mammal
no,yes,yes,no,no,no,no,no,yes,yes,no,no,2,yes,no,yes,ostrich,bird
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,parakeet,bird
no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,2,yes,no,yes,penguin,bird
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no,pheasant,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes,pike,fish
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,piranha,fish
no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,0,yes,no,no,pitviper,reptile
yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,4,yes,no,yes,platypus,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,polecat,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,pony,mammal
no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes,porpoise,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,puma,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,yes,yes,pussycat,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,raccoon,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,reindeer,mammal
no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,yes,rhea,bird
no,no,no,no,no,no,yes,no,no,yes,yes,no,8,yes,no,no,scorpion,invertebrate
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no,seahorse,fish
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,no,no,yes,seal,mammal
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,2,yes,no,yes,sealion,mammal
no,no,no,no,no,yes,yes,yes,yes,no,yes,no,0,yes,no,no,seasnake,reptile
no,no,yes,no,no,yes,yes,no,no,no,yes,no,0,no,no,no,seawasp,invertebrate
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,skimmer,bird
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,skua,bird
no,no,yes,no,no,no,yes,yes,yes,yes,no,no,0,yes,no,no,slowworm,reptile
no,no,yes,no,no,no,no,no,no,yes,no,no,0,no,no,no,slug,invertebrate
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no,sole,fish
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no,sparrow,bird
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,yes,no,no,squirrel,mammal
no,no,yes,no,no,yes,yes,no,no,no,no,no,5,no,no,no,starfish,invertebrate
no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,0,yes,no,yes,stingray,fish
